url,company,reason,soft
https://www.bizbuysell.com/business-broker/mr-tracy-a-burnidge/buy-sell-business-brokers-inc/8827/?ui=true&bwp_url=BuySellBrokers&is_pseo=1,"buy/sell business brokers, inc.",blocked_domain:bizbuysell.com,
Can't find listing page,"liquor license professionals, llc",soft_flag:can't find,True
Can't find listing page,agency republic,soft_flag:can't find,True
Can't find listing page,"atlanta business brokers, llc.",soft_flag:can't find,True
Can't find listing page,gary martin and associates/the oxford highland group,soft_flag:can't find,True
Can't find listing page,vw marketing llc,soft_flag:can't find,True
Can't find listing page,m&a specialists,soft_flag:can't find,True
Can't find listing page,the raivax group,soft_flag:can't find,True
Can't find listing page,sexton commercial brokerage,soft_flag:can't find,True
Can't find listing page,king one properties,soft_flag:can't find,True
Can't find listing page,mohr partners,soft_flag:can't find,True
Can't find listing page,nayor & ferrer realty associates,soft_flag:can't find,True
Can't find listing page,world business & realty group,soft_flag:can't find,True
Can't find listing page,david hoffman & associates inc.,soft_flag:can't find,True
Can't find listing page,bq group inc,soft_flag:can't find,True
Can't find listing page,creative business services,soft_flag:can't find,True
Can't find listing page,liberty advisors,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/heather-valeri-broker-of-distinction/meridian-business-advisors-llc/18549/,"meridian business advisors, llc.",blocked_domain:bizbuysell.com,
Can't find listing page,randy barnes,soft_flag:can't find,True
Can't find listing page,"blue apex real estate, inc.",soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/nicolas-zhao/citadel-commerical/37641/?is_pseo=1,citadel commerical,blocked_domain:bizbuysell.com,
Can't find listing page,"cwc agency brokerage, llc",soft_flag:can't find,True
Can't find listing page,red hot properties,soft_flag:can't find,True
Can't find listing page,royal crown group llc,soft_flag:can't find,True
nan,1953,empty_or_nan,
Cant find listing page,axl equity advisors,soft_flag:cant find,True
https://www.bizbuysell.com/businesses-for-sale/,capital business brokers,blocked_domain:bizbuysell.com,
This site can’t be reached,re/max first choice (commercial),soft_flag:this site can,True
Cant find listing page,curb,soft_flag:cant find,True
Cant find listing page,the nybb group,soft_flag:cant find,True
https://bizmls.com/cgi-bin/a-bus2ff.asp?forsale=go,south florida realty group inc.,blocked_domain:bizmls.com,
Cant find listing page,cgk business sales,soft_flag:cant find,True
Cant find listing page,topsail capital advisors,soft_flag:cant find,True
Cant find listing page,cardinal business brokers,soft_flag:cant find,True
Cant find listing page,the beauty broker,soft_flag:cant find,True
Cant find listing page,pacific realty and finance,soft_flag:cant find,True
Cant find listing page,austin business finder llc,soft_flag:cant find,True
Cant find listing page,common ground business brokers,soft_flag:cant find,True
Cant find listing page,elite brokers,soft_flag:cant find,True
Cant find listing page,ister & associates real estate group,soft_flag:cant find,True
Cant find listing page,pinnacle real estate group,soft_flag:cant find,True
Cant find listing page,tornetta realty corp.,soft_flag:cant find,True
Cant find listing page,vito conenna,soft_flag:cant find,True
Cant find listing page,"exit strategies group, inc.",soft_flag:cant find,True
This site can’t be reached,"ocala business brokers, inc.",soft_flag:this site can,True
Not a listing page,"icoa, inc.",soft_flag:not a listing,True
Cant find listing page,"jw michaels realty services, llc",soft_flag:cant find,True
This site can’t be reached,business brokers inc./atlant business ad,soft_flag:this site can,True
Can't find listing page,amro business brokers,soft_flag:can't find,True
Can't find listing page,f+b hospitality brokerage,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/chris-barnard/marigold-resources/14597/?bp_fat=true,marigold resources,blocked_domain:bizbuysell.com,
Can't find listing page,"national representative realty, llc",soft_flag:can't find,True
Can't find listing page,parkwest business partners,soft_flag:can't find,True
Can't find listing page,pavilion business services,soft_flag:can't find,True
Not a listing page,philip cowan,soft_flag:not a listing,True
Can't find listing page,"ram realty group enterprises, llc.",soft_flag:can't find,True
Can't find listing page,real brokerage,soft_flag:can't find,True
This site can’t be reached,richard kim,soft_flag:this site can,True
Can't find listing page,"the platinum group, ltd",soft_flag:can't find,True
Can't find listing page,wra miami business & real estate,soft_flag:can't find,True
Can't find listing page,mark iii properties,soft_flag:can't find,True
Can't find listing page,dehlan group,soft_flag:can't find,True
Can't find listing page,"business valuations, consulting, sales, funding",soft_flag:can't find,True
Not a listing page,bpre,soft_flag:not a listing,True
Can't find listing page,national representative realty,soft_flag:can't find,True
This site can’t be reached,berkshire hathaway homeservices northwest,soft_flag:this site can,True
Can't find listing page,impact business,soft_flag:can't find,True
Can't find listing page,john barrett,soft_flag:can't find,True
Not a listing page,matt smith,soft_flag:not a listing,True
Not a listing page,my reality 2,soft_flag:not a listing,True
Can't find listing page,paragon brokers,soft_flag:can't find,True
Can't find listing page,"peak business advising, llc",soft_flag:can't find,True
https://bizmls.com/cgi-bin/a-bus2.asp?forsale=go,"quantum business brokers, inc.",blocked_domain:bizmls.com,
Can't find listing page,ref realty inc.,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/david-bandars/rpr-business-associates/14610/?bp_sreg=43&bp_cpg=#bdProfileTabs,rpr business associates,blocked_domain:bizbuysell.com,
Can't find listing page,tecacq m&a,soft_flag:can't find,True
Not a listing page,abc,soft_flag:not a listing,True
Can't find listing page,"compass consulting services, llc",soft_flag:can't find,True
Can't find listing page,sourceworks inc,soft_flag:can't find,True
https://www.bizbuysell.com/brokerdirectory/Profile/ViewAllListings.aspx?J=b&I=40264,lonestar business advisor,blocked_domain:bizbuysell.com,
https://www.bizbuysell.com/business-broker/dan-daniel/rvabb-mid-atlantic-states-leader-with-98-5-star-reviews-and-counting/25899/?is_pseo=1&gclid=Cj0KCQjw5-WRBhCKARIsAAId9Fls4-5oUL0OuD3nkixIibvoJ06O73UBYv2it3_JS1BqykpBkZmpr1saAnCWEALw_wcB,rvabb - mid atlantic states leader with 98 5-star reviews and counting,blocked_domain:bizbuysell.com,
https://www.bizbuysell.com/business-broker/david-j-sweeten-cpa-cbi-lreb-bcb/business-brokers-of-texas-inc/484/,"business brokers of texas, inc.",blocked_domain:bizbuysell.com,
This site can’t be reached,california bridge realty,soft_flag:this site can,True
nan,commercii advisory services,empty_or_nan,
Can't find listing page,majors real estate,soft_flag:can't find,True
Can't find listing page,oregon first,soft_flag:can't find,True
Can't find listing page,pacific mergers and acqusitions inc.,soft_flag:can't find,True
Can't find listing page,sumtis llc,soft_flag:can't find,True
This site can’t be reached,the transition group/tiffany real property,soft_flag:this site can,True
https://www.bizbuysell.com/business-broker/shane-keegan/vested-business-partners/32746/?bp_sreg=23&bp_cpg=&bp_scity=largo,vested business partners,blocked_domain:bizbuysell.com,
Can't find listing page,searchwell advisors,soft_flag:can't find,True
Can't find listing page,tri state business authority,soft_flag:can't find,True
Can't find listing page,golden bridge realty,soft_flag:can't find,True
Can't find listing page,"acquisition services, inc.",soft_flag:can't find,True
Can't find listing page,adam blondell,soft_flag:can't find,True
Can't find listing page,ak property brokers,soft_flag:can't find,True
Can't find listing page,cbd investment inc,soft_flag:can't find,True
Can't find listing page,michelle paxson,soft_flag:can't find,True
Can't find listing page,national realty old city,soft_flag:can't find,True
Can't find listing page,nationwide homes & lending - broker,soft_flag:can't find,True
Not a listing page,"nynj business,llc.",soft_flag:not a listing,True
Can't find listing page,summit business advisors,soft_flag:can't find,True
This site can’t be reached,double13 llc,soft_flag:this site can,True
Can't find listing page,fidcol corporate services inc.,soft_flag:can't find,True
Can't find listing page,graystone international,soft_flag:can't find,True
https://www.bizbuysell.com/brokerdirectory/Profile/ViewAllListings.aspx?J=b&I=15125&m_dmr=1,next level business advisors,blocked_domain:bizbuysell.com,
Can't find listing page,nystrom business sales,soft_flag:can't find,True
Can't find listing page,ayana retail,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/terry-tretta-pllc/azbusinessbroker-com-american-realty-brokers/970/?is_pseo=1&is_pseo=1,azbusinessbroker.com american realty brokers,blocked_domain:bizbuysell.com,
Can't find listing page,"florida realty of miami, corp.",soft_flag:can't find,True
Can't find listing page,hollander business brokers,soft_flag:can't find,True
Can't find listing page,main street realtors,soft_flag:can't find,True
Not a listing page,mountain west,soft_flag:not a listing,True
Can't find listing page,robbins pellegrino,soft_flag:can't find,True
Can't find listing page,www.traddcommercial.com,soft_flag:can't find,True
Not a listing page,4a business broker llc,soft_flag:not a listing,True
https://www.bizbuysell.com/business-broker/mike-kane/top-florida-business-brokers/5298/?is_pseo=1,top florida business brokers,blocked_domain:bizbuysell.com,
Can't find listing page,lewisco,soft_flag:can't find,True
Can't find listing page,"bray commercial, llc",soft_flag:can't find,True
Can't find listing page,delaney restaurant realty,soft_flag:can't find,True
This site can’t be reached,"dolan sales, inc.",soft_flag:this site can,True
Can't find listing page,great earth realty,soft_flag:can't find,True
Can't find listing page,"green pine partners, inc.",soft_flag:can't find,True
Can't find listing page,illi commercial real estate,soft_flag:can't find,True
Can't find listing page,"michael cohen, business broker",soft_flag:can't find,True
https://njbizbuysell.com/listings,njbizbuysell,blocked_domain:bizbuysell.com,
Not a listing page,premier innovations group,soft_flag:not a listing,True
Not a listing page,restaurant equipment paradise inc.,soft_flag:not a listing,True
Can't find listing page,world business brokers inc,soft_flag:can't find,True
Can't find listing page,great plains capital partners,soft_flag:can't find,True
Can't find listing page,neri capital partners,soft_flag:can't find,True
Not a listing page,allied commercial,soft_flag:not a listing,True
https://app.amivaplus.com/register?token=PuMG3da3LG0lD93100lkPQP -- Needs sign up,amiva equity partners llc,soft_flag:needs sign,True
Can't find listing page,"calder associates, inc.",soft_flag:can't find,True
Not a listing page,corefit consulting,soft_flag:not a listing,True
Can't find listing page,texas new star,soft_flag:can't find,True
Can't find listing page,the francisco group,soft_flag:can't find,True
This site can’t be reached,valhalla business brokers & advisors,soft_flag:this site can,True
This site can’t be reached,rapt business brokers,soft_flag:this site can,True
nan,anthony m. sereslis realty,empty_or_nan,
nan,apogee equity partners,empty_or_nan,
Can't find listing page,bfs,soft_flag:can't find,True
Can't find listing page,"business acquisitions, llc",soft_flag:can't find,True
This site can’t be reached,california business broker,soft_flag:this site can,True
Can't find listing page,carla baxter,soft_flag:can't find,True
Can't find listing page,ferrarri international realty inc.,soft_flag:can't find,True
Can't find listing page,graham hearst real estate,soft_flag:can't find,True
Can't find listing page,horizon m&a advisors,soft_flag:can't find,True
Can't find listing page,jeff ferguson,soft_flag:can't find,True
Needs Login,k & r real estate group,soft_flag:needs login,True
This site can’t be reached,the jones group,soft_flag:this site can,True
Can't find listing page - Possibly not a listing page,marathon capital advisors,soft_flag:can't find,True
nan,1000 realty,empty_or_nan,
https://www.acbrokersinc.com/bussop-buybus.php - Needs sign up,advantage commercial brokers,soft_flag:needs sign,True
Not a listing page,citi commercial investments,soft_flag:not a listing,True
Can't find listing page,douglas kim,soft_flag:can't find,True
Not a listing page,first choice business brokers - toledo #242,soft_flag:not a listing,True
Can't find listing page,fontaine re brokerage,soft_flag:can't find,True
Can't find listing page,golden circle advisors,soft_flag:can't find,True
Can't find listing page,"innovative business advisors, llc",soft_flag:can't find,True
https://bizmls.com/cgi-bin/a-bus2ff.asp?forsale=go,kw reserve business brokerage,blocked_domain:bizmls.com,
Can't find listing page,realty executives,soft_flag:can't find,True
Can't find listing page,washington metropolitan business brokers,soft_flag:can't find,True
https://www.choicehomes4sale.com/market-activity/ -- Needs sign up,best choice realty,soft_flag:needs sign,True
Can't find listing page,"academic property group, llc",soft_flag:can't find,True
Can't find listing page,"alamo corporate group, inc.",soft_flag:can't find,True
Can't find listing page,"bee investment, inc.",soft_flag:can't find,True
Can't find listing page,bizbode llc,soft_flag:can't find,True
Can't find listing page,"broadstone capital, llc",soft_flag:can't find,True
Can't find listing page,c wesley broker,soft_flag:can't find,True
Not a listing page,cal coast capital,soft_flag:not a listing,True
Can't find listing page,capitol business consultants,soft_flag:can't find,True
Can't find listing page,crescenda merger & acquisition advisors,soft_flag:can't find,True
Can't find listing page,crespo business brokers,soft_flag:can't find,True
Can't find listing page,dream business brokers,soft_flag:can't find,True
Can't find listing page,fhr commercial - future home realty,soft_flag:can't find,True
Can't find listing page,five rivers real estate,soft_flag:can't find,True
Can't find listing page,groves capital group,soft_flag:can't find,True
This site can’t be reached,interbloom business brokerage inc,soft_flag:this site can,True
This site can’t be reached,john price broker & associates,soft_flag:this site can,True
Can't find listing page,next level franchise group,soft_flag:can't find,True
Not a listing page,"pacific brokers, inc.",soft_flag:not a listing,True
Can't find listing page,"performance brokerage services, inc",soft_flag:can't find,True
Can't find listing page,premier brokers of ga llc,soft_flag:can't find,True
Not a listing page,pryia international inc.,soft_flag:not a listing,True
Can't find listing page,"r.e. consulting services, llc",soft_flag:can't find,True
Not a listing page,r. o. g.,soft_flag:not a listing,True
Can't find listing page,retail innovative transfers llc,soft_flag:can't find,True
Can't find listing page,rich group llc,soft_flag:can't find,True
Can't find listing page,s & s realty & investment llc,soft_flag:can't find,True
Can't find listing page,sin city realty llc,soft_flag:can't find,True
Can't find listing page,solutions 4 child care,soft_flag:can't find,True
Can't find listing page,"stony hill advisors, inc.",soft_flag:can't find,True
Can't find listing page,tait & associates business brokers,soft_flag:can't find,True
Can't find listing page,the hatteras group,soft_flag:can't find,True
This site can’t be reached,united real estate fortune,soft_flag:this site can,True
Can't find listing page,watercress capital,soft_flag:can't find,True
Can't find listing page,ashland capital advisors,soft_flag:can't find,True
This site can’t be reached,blackwater south inc,soft_flag:this site can,True
Can't find listing page,broker sang han,soft_flag:can't find,True
Can't find listing page,ccrg,soft_flag:can't find,True
Can't find listing page,george & company/centralbrokers,soft_flag:can't find,True
Can't find listing page,premier business group,soft_flag:can't find,True
Can't find listing page,provest inc.,soft_flag:can't find,True
Can't find listing page,sbi- strategic business intermediaries,soft_flag:can't find,True
Not a listing page,sun route sales,soft_flag:not a listing,True
Can't find listing page,"california business advisors, inc.",soft_flag:can't find,True
Not a listing page,bti group,soft_flag:not a listing,True
Can't find listing page,the business team,soft_flag:can't find,True
Can't find listing page,"comprehensive business brokers, llc",soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/eric-singer/future-in-franchises/24584/,future in franchises,blocked_domain:bizbuysell.com,
Not a listing page,general business brokerage,soft_flag:not a listing,True
Can't find listing page,imara advisors,soft_flag:can't find,True
Can't find listing page,kallman capital,soft_flag:can't find,True
Can't find listing page,keller williams coral gables,soft_flag:can't find,True
This site can’t be reached,"lonestar alliance consulting, llc",soft_flag:this site can,True
Can't find listing page,"national business acquisitions, llc.",soft_flag:can't find,True
Can't find listing page,palmetto coastal homes,soft_flag:can't find,True
Can't find listing page,"rohac and associates, llc",soft_flag:can't find,True
This site can’t be reached,the route guy llc,soft_flag:this site can,True
Can't find listing page,vendere advisors,soft_flag:can't find,True
This site can’t be reached,business 360 realty 360,soft_flag:this site can,True
Can't find listing page,david moore & partners,soft_flag:can't find,True
nan,8/1/23 0:00,empty_or_nan,
Can't find listing page,alpha state realty,soft_flag:can't find,True
Not a listing page,american business investments,soft_flag:not a listing,True
Can't find listing page,atk ventures,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/jim-slattery/ballistic-brokers-llc/28540/,ballistic brokers llc,blocked_domain:bizbuysell.com,
Not a listing page,better business brokerage inc,soft_flag:not a listing,True
Can't find listing page,bls consulting,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/edward-a-granka/business-brokerage-group-inc/331/?p_sreg=48&bp_scounty=1983&bplt=10#profileTabsContainer,"business brokerage group, inc.",blocked_domain:bizbuysell.com,
Not a listing page,"business brokerage solutions, llc",soft_flag:not a listing,True
This site can’t be reached,business brokers today,soft_flag:this site can,True
Not a listing page,d. roberts,soft_flag:not a listing,True
Can't find listing page,dani pearce,soft_flag:can't find,True
This site can’t be reached,deith business brokers & advisors,soft_flag:this site can,True
Can't find listing page,destin business brokers,soft_flag:can't find,True
Can't find listing page,dixon brokerage,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/amarjit-a-j-mokha/ez-biz-brokers/9563/?bplt=10#bdProfileMyListings,ez biz brokers.,blocked_domain:bizbuysell.com,
Can't find listing page,freeman lundt,soft_flag:can't find,True
Can't find listing page,gt brokerage,soft_flag:can't find,True
This site can’t be reached,guttman realty advisors,soft_flag:this site can,True
Can't find listing page,ibg business,soft_flag:can't find,True
Can't find listing page,investiprise,soft_flag:can't find,True
This site can’t be reached,kaizen realty,soft_flag:this site can,True
Not a listing page,local real estate co,soft_flag:not a listing,True
Can't find listing page,madison street capital,soft_flag:can't find,True
https://bizmls.com/cgi-bin/a-bus2ff.asp?forsale=go,mclane business brokers,blocked_domain:bizmls.com,
Can't find listing page,"misale & associates, inc.",soft_flag:can't find,True
Needs sign up,nai piedmont triad,soft_flag:needs sign,True
Not a listing page,new york laundromat exchange®,soft_flag:not a listing,True
Can't find listing page,olympic group commercial,soft_flag:can't find,True
Not a listing page,quest,soft_flag:not a listing,True
Can't find listing page,sagewood advisors,soft_flag:can't find,True
Not a listing page,shai · hess commercial real estate,soft_flag:not a listing,True
https://www.bizbuysell.com/business-broker/jack-snyder/snyder-partners-inc/16190/?fbclid=IwAR1DPAMEoMd6y_oFy7urL7QeDpOVNdNXM3zILOQImKKM5co5aoK8G4O1D0I,snyder partners inc,blocked_domain:bizbuysell.com,
Can't find listing page,sound business brokers,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/adam-exas/stillwater-advisors-llc/34509/?bp_sreg=24&bp_scity=savannah&bp_cpg=,stillwater advisors llc,blocked_domain:bizbuysell.com,
Can't find listing page,stone tower group,soft_flag:can't find,True
Can't find listing page,sunstate business brokers,soft_flag:can't find,True
Can't find listing page,thrive acquisition,soft_flag:can't find,True
Can't find listing page,venture 7 advisors llc,soft_flag:can't find,True
Can't find listing page,wilshire realty & investment,soft_flag:can't find,True
Not a listing page,zerozero.com,soft_flag:not a listing,True
Can't find listing page,bismika consulting,soft_flag:can't find,True
Can't find listing page,djt business brokers,soft_flag:can't find,True
This site can’t be reached,keller williams business & commercial,soft_flag:this site can,True
Can't find listing page,lgi business advisors,soft_flag:can't find,True
https://vrgsandiego.com/ - Showing just limited list,vanguard resource gr,soft_flag:limited list,True
Can't find listing page,vkay realty,soft_flag:can't find,True
Can't find listing page,bockus consulting,soft_flag:can't find,True
Can't find listing page,"carolina investment brokers, llc",soft_flag:can't find,True
Not a listing page,centers dynamic partners,soft_flag:not a listing,True
This site can’t be reached,coldwell banker realty,soft_flag:this site can,True
Can't find listing page,elite commercial realty,soft_flag:can't find,True
Can't find listing page,"griffiths, dreher & evans, ps, cpas",soft_flag:can't find,True
Can't find listing page,mergers acquisitions and sales,soft_flag:can't find,True
Can't find listing page,mergers & acquisitions evolution inc.,soft_flag:can't find,True
Can't find listing page,midtown mergers & acquisitions,soft_flag:can't find,True
Can't find listing page,"oak capital advisors, llc",soft_flag:can't find,True
Can't find listing page,paul proano properties re inc,soft_flag:can't find,True
Can't find listing page,performance brokerage services,soft_flag:can't find,True
Can't find listing page,technologypark.com,soft_flag:can't find,True
Can't find listing page,the russell group dre # 01384963,soft_flag:can't find,True
This site can’t be reached,first choice business brokers charlotte,soft_flag:this site can,True
Can't find listing page,1st priority realty,soft_flag:can't find,True
Can't find listing page,7548 enterprises llc,soft_flag:can't find,True
nan,a perfect location. llc,empty_or_nan,
This site can’t be reached,"acquisition experts, llc",soft_flag:this site can,True
Not a listing page,action business group,soft_flag:not a listing,True
This site can’t be reached,aldridge and associates business brokers,soft_flag:this site can,True
Can't find listing page,andy lowe investments,soft_flag:can't find,True
This site can’t be reached,asheville business brokers,soft_flag:this site can,True
Can't find listing page,black iron advisers,soft_flag:can't find,True
Can't find listing page,"brian k serina, broker",soft_flag:can't find,True
Can't find listing page,business broker experts inc.,soft_flag:can't find,True
Can't find listing page,"business exchange specialists, l.l.c.",soft_flag:can't find,True
This site can’t be reached,business resources at american realty brokers,soft_flag:this site can,True
Not a listing page,buy direct real estate inc,soft_flag:not a listing,True
Can't find listing page,"c.g. reicher associates, ltd.",soft_flag:can't find,True
Can't find listing page,century mergers & acquisitions llc,soft_flag:can't find,True
Not a listing page,circa commercial,soft_flag:not a listing,True
Can't find listing page,cox business brokers az-west usa realty,soft_flag:can't find,True
Not a listing page,cre,soft_flag:not a listing,True
This site can’t be reached,drake business services,soft_flag:this site can,True
Can't find listing page,"exp commercial of california, inc.",soft_flag:can't find,True
Can't find listing page,gbx brokerage,soft_flag:can't find,True
Can't find listing page,gdp group,soft_flag:can't find,True
https://www.bizbuysell.com/business-broker/mitri-habash/habash-commercial-realty-llc/15901/?bplt=10#bdProfileTabss,"habash commercial realty, llc",blocked_domain:bizbuysell.com,
Not a listing page,jacar llc,soft_flag:not a listing,True
Not a listing page,keller williams coastal realty/ the nmr group,soft_flag:not a listing,True
Can't find listing page,ken jarvis consulting,soft_flag:can't find,True
Can't find listing page,lluna investments,soft_flag:can't find,True
Not a listing page,nova concept inc,soft_flag:not a listing,True
Can't find listing page,omniterra solutions,soft_flag:can't find,True
Can't find listing page,plethora businesses,soft_flag:can't find,True
Can't find listing page,premier construction business brokers,soft_flag:can't find,True
Can't find listing page,rainwater business advisors llc,soft_flag:can't find,True
Not a listing page,"realty pros of naples, llc",soft_flag:not a listing,True
Can't find listing page,sharp business solutions,soft_flag:can't find,True
