domain,company,status,note
radcapgroup.com,groves capital group,no_listings_page,human-verified by Sanny: Can't find listing page
hancockrealty.net,hancock realty,auth_required,human-verified by Sanny: Needs log in
exclusivepropertiesinmiami.com,interbloom business brokerage inc,dead,human-verified by Sanny: This site can’t be reached
johnpricebrokers.com,john price broker & associates,dead,human-verified by Sanny: This site can’t be reached
nextlevelfranchisegroup.com,next level franchise group,no_listings_page,human-verified by Sanny: Can't find listing page
pcbusa.com,"pacific brokers, inc.",no_listings_page,human-verified by Sanny: Not a listing page
performancebrokerageservices.com,"performance brokerage services, inc",no_listings_page,human-verified by Sanny: Can't find listing page
premierbusinessbrokersofga.com,premier brokers of ga llc,no_listings_page,human-verified by Sanny: Can't find listing page
priyainternational.com,pryia international inc.,no_listings_page,human-verified by Sanny: Not a listing page
forum.rpg.net,r. o. g.,no_listings_page,human-verified by Sanny: Not a listing page
raincatcher.com,raincatcher,auth_required,human-verified by Sanny: Needs log in
evansz.com,re/max preferred - newtown square,no_listings_page,human-verified by Sanny: Site won't load
retailinnovativetransfers.com,retail innovative transfers llc,no_listings_page,human-verified by Sanny: Can't find listing page
richgroup-llc.com,rich group llc,no_listings_page,human-verified by Sanny: Can't find listing page
solutions4childcare.com,solutions 4 child care,no_listings_page,human-verified by Sanny: Can't find listing page
stonyhilladvisorsinc.com,"stony hill advisors, inc.",no_listings_page,human-verified by Sanny: Can't find listing page
taitassociates.com,tait & associates business brokers,no_listings_page,human-verified by Sanny: Can't find listing page
hatterasgroup.com,the hatteras group,no_listings_page,human-verified by Sanny: Can't find listing page
unitedrealestatefortune.com,united real estate fortune,dead,human-verified by Sanny: This site can’t be reached
vtcommercial.com,v/t commercial,blocked,human-verified by Sanny: 403 Forbidden
watercresscap.com,watercress capital,no_listings_page,human-verified by Sanny: Can't find listing page
ashcap.com,ashland capital advisors,no_listings_page,human-verified by Sanny: Can't find listing page
blackwatersouth.com,blackwater south inc,dead,human-verified by Sanny: This site can’t be reached
sangcanhelp.com,broker sang han,no_listings_page,human-verified by Sanny: Can't find listing page
costcontrolrestaurantgroup.com,ccrg,no_listings_page,human-verified by Sanny: Can't find listing page
georgeandco.com,george & company/centralbrokers,no_listings_page,human-verified by Sanny: Can't find listing page
teampremier.com,premier business group,no_listings_page,human-verified by Sanny: Can't find listing page
provestinc.com,provest inc.,no_listings_page,human-verified by Sanny: Can't find listing page
stbibusiness.com,sbi- strategic business intermediaries,no_listings_page,human-verified by Sanny: Can't find listing page
careers.bimbobakeriesusa.com,sun route sales,no_listings_page,human-verified by Sanny: Not a listing page
californiabusinessadvisors.com,"california business advisors, inc.",no_listings_page,human-verified by Sanny: Can't find listing page
xchangecre.com,x-change realty & investments,auth_required,human-verified by Sanny: Needs log in
btigroup.com,bti group,no_listings_page,human-verified by Sanny: Not a listing page
josephprasad.com,the business team,no_listings_page,human-verified by Sanny: Can't find listing page
centuryestate.com,century real estate and finance inc.,no_listings_page,human-verified by Sanny: Need access code.
ericlandis.com,"comprehensive business brokers, llc",no_listings_page,human-verified by Sanny: Can't find listing page
businessbrokeragepress.com,general business brokerage,no_listings_page,human-verified by Sanny: Not a listing page
imaraadvisors.com,imara advisors,no_listings_page,human-verified by Sanny: Can't find listing page
kwcapital.kw.com,keller williams coral gables,no_listings_page,human-verified by Sanny: Can't find listing page
lonestaralliancegroup.com,"lonestar alliance consulting, llc",dead,human-verified by Sanny: This site can’t be reached
nationalbusacq.com,"national business acquisitions, llc.",no_listings_page,human-verified by Sanny: Can't find listing page
palmettocoastalhomes.com,palmetto coastal homes,no_listings_page,human-verified by Sanny: Can't find listing page
therouteguy.net,the route guy llc,dead,human-verified by Sanny: This site can’t be reached
vendereadvisors.com,vendere advisors,no_listings_page,human-verified by Sanny: Can't find listing page
bluechipma.com,david moore & partners,no_listings_page,human-verified by Sanny: Can't find listing page
aegisroutes.com,aegis routes,no_listings_page,human-verified by Sanny: Page won't load
alphastaterealty.com,alpha state realty,no_listings_page,human-verified by Sanny: Can't find listing page
home.treasury.gov,american business investments,no_listings_page,human-verified by Sanny: Not a listing page
atk-ventures.com,atk ventures,no_listings_page,human-verified by Sanny: Can't find listing page
bbb.org,better business brokerage inc,no_listings_page,human-verified by Sanny: Not a listing page
blscb.com,bls consulting,no_listings_page,human-verified by Sanny: Can't find listing page
6sense.com,"business brokerage solutions, llc",no_listings_page,human-verified by Sanny: Not a listing page
businessbrokerstoday.com,business brokers today,dead,human-verified by Sanny: This site can’t be reached
daexmachina.com,d. roberts,no_listings_page,human-verified by Sanny: Not a listing page
deithrealty.com,deith business brokers & advisors,dead,human-verified by Sanny: This site can’t be reached
destinbusinessbrokers.com,destin business brokers,no_listings_page,human-verified by Sanny: Can't find listing page
zeebiz.com,dixon brokerage,no_listings_page,human-verified by Sanny: Can't find listing page
freemanlundt.com,freeman lundt,no_listings_page,human-verified by Sanny: Can't find listing page
gts-platform.com,gt brokerage,no_listings_page,human-verified by Sanny: Can't find listing page
guttmanrealty.com,guttman realty advisors,dead,human-verified by Sanny: This site can’t be reached
ibgbusiness.com,ibg business,no_listings_page,human-verified by Sanny: Can't find listing page
investiprise.com,investiprise,no_listings_page,human-verified by Sanny: Can't find listing page
landmarkdfw.com,j1 commercial,dead,human-verified by Sanny: Website Unavailable
joycerealty.com,joyce realty,no_listings_page,human-verified by Sanny: Listing
cstorebuysell.com,kaizen realty,dead,human-verified by Sanny: This site can’t be reached
reddit.com,local real estate co,no_listings_page,human-verified by Sanny: Not a listing page
madisonstreetcapital.com,madison street capital,no_listings_page,human-verified by Sanny: Can't find listing page
maybenrealty.com,mayben realty,no_listings_page,human-verified by Sanny: LIsting
misaleinc.com,"misale & associates, inc.",no_listings_page,human-verified by Sanny: Can't find listing page
naipt.com,nai piedmont triad,no_listings_page,human-verified by Sanny: Needs sign up
laundryheap.com,new york laundromat exchange®,no_listings_page,human-verified by Sanny: Not a listing page
olympicgrouprealty.com,olympic group commercial,no_listings_page,human-verified by Sanny: Can't find listing page
questdiagnostics.com,quest,no_listings_page,human-verified by Sanny: Not a listing page
commercialrmip.com,re/max innovative properties,dead,human-verified by Sanny: Website Unavailable
gosagewood.com,sagewood advisors,no_listings_page,human-verified by Sanny: Can't find listing page
jneurosci.org,shai · hess commercial real estate,no_listings_page,human-verified by Sanny: Not a listing page
soundbusinessbrokers.com,sound business brokers,no_listings_page,human-verified by Sanny: Can't find listing page
stonetower-group.com,stone tower group,no_listings_page,human-verified by Sanny: Can't find listing page
sbbrokers.com,sunstate business brokers,no_listings_page,human-verified by Sanny: Can't find listing page
kubyco.com,"the kuby company, llc",dead,human-verified by Sanny: Website Unavailable
thriveacquisition.com,thrive acquisition,no_listings_page,human-verified by Sanny: Can't find listing page
biztimes.com,time commercial real estate,no_listings_page,human-verified by Sanny: Access Restricted
venture7advisors.com,venture 7 advisors llc,no_listings_page,human-verified by Sanny: Can't find listing page
zerozero.com,zerozero.com,no_listings_page,human-verified by Sanny: Not a listing page
bismikaconsulting.com,bismika consulting,no_listings_page,human-verified by Sanny: Can't find listing page
businessbroker.net,dry cleaning business brokerage,no_listings_page,human-verified by Sanny: LIsting
kellerwilliams.com,keller williams business & commercial,dead,human-verified by Sanny: This site can’t be reached
lgibusinessadvisors.com,lgi business advisors,no_listings_page,human-verified by Sanny: Can't find listing page
bbnbrokers.com,america's business broker,no_listings_page,human-verified by Sanny: Listing - Needs email for availability
bockusconsulting.com,bockus consulting,no_listings_page,human-verified by Sanny: Can't find listing page
carolinainvestmentbrokers.com,"carolina investment brokers, llc",no_listings_page,human-verified by Sanny: Can't find listing page
partner.microsoft.com,centers dynamic partners,no_listings_page,human-verified by Sanny: Not a listing page
snehaldharani.com,coldwell banker realty,dead,human-verified by Sanny: This site can’t be reached
ecpventures.com,ecp ventures,no_listings_page,human-verified by Sanny: Need registration
elitecommercialre.com,elite commercial realty,no_listings_page,human-verified by Sanny: Can't find listing page
grifco.com,"griffiths, dreher & evans, ps, cpas",no_listings_page,human-verified by Sanny: Can't find listing page
eddiehasan.com,mergers acquisitions and sales,no_listings_page,human-verified by Sanny: Can't find listing page
m-a-evolution.ca,mergers & acquisitions evolution inc.,no_listings_page,human-verified by Sanny: Can't find listing page
thorpecommercial.com,midtown mergers & acquisitions,no_listings_page,human-verified by Sanny: Can't find listing page
m.facebook.com,niko sells chicago,auth_required,human-verified by Sanny: Needs log in
oakcapitaladvisors.net,"oak capital advisors, llc",no_listings_page,human-verified by Sanny: Can't find listing page
paulproanoproperties.com,paul proano properties re inc,no_listings_page,human-verified by Sanny: Can't find listing page
technologypark.com,technologypark.com,no_listings_page,human-verified by Sanny: Can't find listing page
brokers.interexo.com,the russell group dre # 01384963,no_listings_page,human-verified by Sanny: Can't find listing page
charlottencbusinessforsale.com,first choice business brokers charlotte,dead,human-verified by Sanny: This site can’t be reached
vnbbrokers.com,"vnb business brokers, llc",no_listings_page,human-verified by Sanny: Need registration
firstpriorityrealty.com,1st priority realty,no_listings_page,human-verified by Sanny: Can't find listing page
buzzfile.com,7548 enterprises llc,no_listings_page,human-verified by Sanny: Can't find listing page
acquisitionexperts.net,"acquisition experts, llc",dead,human-verified by Sanny: This site can’t be reached
actiongrp.net,action business group,no_listings_page,human-verified by Sanny: Not a listing page
aldridgeandassociates.com,aldridge and associates business brokers,dead,human-verified by Sanny: This site can’t be reached
adviserinfo.sec.gov,andy lowe investments,no_listings_page,human-verified by Sanny: Can't find listing page
americaninvestmentbrokers.com,asheville business brokers,dead,human-verified by Sanny: This site can’t be reached
blackironadvisers.com,black iron advisers,no_listings_page,human-verified by Sanny: Can't find listing page
businessbrokerexpertsinc.com,business broker experts inc.,no_listings_page,human-verified by Sanny: Can't find listing page
bizxspecialists.com,"business exchange specialists, l.l.c.",no_listings_page,human-verified by Sanny: Can't find listing page
bizbrokersaz.com,business resources at american realty brokers,dead,human-verified by Sanny: This site can’t be reached
quora.com,buy direct real estate inc,no_listings_page,human-verified by Sanny: Not a listing page
cgreicher.com,"c.g. reicher associates, ltd.",no_listings_page,human-verified by Sanny: Can't find listing page
centurybba.com,century mergers & acquisitions llc,no_listings_page,human-verified by Sanny: Can't find listing page
circaenergy.com,circa commercial,no_listings_page,human-verified by Sanny: Not a listing page
inbiz.in.gov,"corporate entities, inc.",blocked,human-verified by Sanny: 403 Forbidden
businessbrokers-az.com,cox business brokers az-west usa realty,no_listings_page,human-verified by Sanny: Can't find listing page
cremembers.com,cre,no_listings_page,human-verified by Sanny: Not a listing page
drakebusinessbrokers.com,drake business services,dead,human-verified by Sanny: This site can’t be reached
